NewJeans,JeansSBC,Talla USA,WaistCm,HipsCm,WaistIn,HipsIn
4_14,8_14,5_7,79,108,31.1,42.5
2_12,NA,7,71,112,27.9,44.1
4_12,NA,7,75,112,29.5,44.1
4_10,4_12,4,78,104,30.7,40.9
6_14,8_14,6,84,107,33.07,42.1
2_10,4_12,5,76,104,29.9,40.9
0_8,0_10,1,64,100,25.1,39.3
4_12,NA,5,72,105,28.3,41.3
8_14,10_16,11,99,124,38.9,48.8
12_18,10_18,13,106,130,41.7,51.1
2_8,4_10,2,79,100,31.1,39.3
6_14,8_14,5,85,110,33.4,43.3
12_18,16_20,14,119,128,46.8,50.3
0_10,2_10,4,71,108,27.9,42.5
8_14,10_14,9,82,112,32.3,44.1
2_8,4_8,1,56,100,22.1,39.3
2_12,4_14,2,65,109,25.5,42.9
4_14,6_14,7,60,106,23.6,41.7
2_12,NA,4,70,107,27.5,42.1
4_14,6_14,7,60,103,23.6,40.5
2_12,NA,2,70,107,27.5,42.1
2_8,4_10,2,79,100,31.1,39.3
4_14,6_14,7,78,107,30.7,42.1
8_14,NA,8,84,113,33,44.4
2_8,4_10,5,80,101,31.4,39.7
8_14,NA,7,84,104,33,40.9
2_8,4_10,3,75,95,29.5,37.4
2_10,NA,3,71,110,27.9,43.3
4_10,NA,5,74,109,29.1,42.9
12_16,12_18,11,79,120,31.1,47.2
4_12,4_14,5,74,110,29.1,43.3
4_10,4_12,7,71,101,27.9,39.7
8_14,10_16,7,92,110,36.2,43.3
10_16,10_18,9,102,124,40.1,48.8
4_10,4_12,2,79,120,31.1,47.2
12_16,12_18,8,81,117,31.8,46.06
4_10,4_12,2,72,105,28.3,41.3
0_8,NA,1,71,100,27.9,39.3
4_12,4_14,3,78,107,30.7,42.1
