Model,beforeSize,currentSize,Waist,Hips,Leg,Shape,Other,Time,Notes
Saphiro,null,4_14,79,108,0,,,,
Saphiro,null,2_12,71,112,0,,,,
Saphiro,null,4_12,75,112,0,,,,
Saphiro,null,4_10,78,104,0,,,,
Saphiro,null,6_14,84,107,0,,,,
Saphiro,null,2_10,76,104,0,,,,
Saphiro,null,0_8,64,100,0,,,,
Saphiro,null,4_12,72,105,0,,,,
Saphiro,null,8_14,99,124,0,,,,
Saphiro,null,12_18,106,130,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,6_14,85,110,0,,,,
Saphiro,null,12_18,119,128,0,,,,
Saphiro,null,0_10,71,108,0,,,,
Saphiro,null,,,,0,,,,
Saphiro,null,8_14,82,112,0,,,,
Saphiro,null,2_8,56,100,0,,,,
Saphiro,null,2_12,65,109,0,,,,
Saphiro,null,4_14,60,106,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,4_14,60,103,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,4_14,78,107,0,,,,
Saphiro,null,8_14,84,113,0,,,,
Saphiro,null,2_8,80,101,0,,,,
Saphiro,null,8_14,84,104,0,,,,
Saphiro,null,2_8,75,95,0,,,,
Saphiro,null,2_10,71,110,0,,,,
Saphiro,null,4_10,74,109,0,,,,
Saphiro,null,12_16,79,120,0,,,,
Saphiro,null,4_12,74,110,0,,,,
Saphiro,null,4_10,71,101,0,,,,
Saphiro,null,8_14,92,110,0,,,,
Saphiro,null,10_16,102,124,0,,,,
Saphiro,null,4_10,79,120,0,,,,
Saphiro,null,12_16,81,117,0,,,,
Saphiro,null,4_10,72,105,0,,,,
Saphiro,null,0_8,71,100,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,4_12,78,107,0,,,,
Saphiro,null,4_14,79,108,0,,,,
Saphiro,null,2_12,71,112,0,,,,
Saphiro,null,4_12,75,112,0,,,,
Saphiro,null,4_10,78,104,0,,,,
Saphiro,null,6_14,84,107,0,,,,
Saphiro,null,2_10,76,104,0,,,,
Saphiro,null,0_8,64,100,0,,,,
Saphiro,null,4_12,72,105,0,,,,
Saphiro,null,8_14,99,124,0,,,,
Saphiro,null,12_18,106,130,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,6_14,85,110,0,,,,
Saphiro,null,12_18,119,128,0,,,,
Saphiro,null,0_10,71,108,0,,,,
Saphiro,null,,,,0,,,,
Saphiro,null,8_14,82,112,0,,,,
Saphiro,null,2_8,56,100,0,,,,
Saphiro,null,2_12,65,109,0,,,,
Saphiro,null,4_14,60,106,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,4_14,60,103,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,4_14,78,107,0,,,,
Saphiro,null,8_14,84,113,0,,,,
Saphiro,null,2_8,80,101,0,,,,
Saphiro,null,8_14,84,104,0,,,,
Saphiro,null,2_8,75,95,0,,,,
Saphiro,null,2_10,71,110,0,,,,
Saphiro,null,4_10,74,109,0,,,,
Saphiro,null,12_16,79,120,0,,,,
Saphiro,null,4_12,74,110,0,,,,
Saphiro,null,4_10,71,101,0,,,,
Saphiro,null,8_14,92,110,0,,,,
Saphiro,null,10_16,102,124,0,,,,
Saphiro,null,4_10,79,120,0,,,,
Saphiro,null,12_16,81,117,0,,,,
Saphiro,null,4_10,72,105,0,,,,
Saphiro,null,0_8,71,100,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,4_12,78,107,0,,,,
Saphiro,null,4_14,79,108,0,,,,
Saphiro,null,2_12,71,112,0,,,,
Saphiro,null,4_12,75,112,0,,,,
Saphiro,null,4_10,78,104,0,,,,
Saphiro,null,6_14,84,107,0,,,,
Saphiro,null,2_10,76,104,0,,,,
Saphiro,null,0_8,64,100,0,,,,
Saphiro,null,4_12,72,105,0,,,,
Saphiro,null,8_14,99,124,0,,,,
Saphiro,null,12_18,106,130,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,6_14,85,110,0,,,,
Saphiro,null,12_18,119,128,0,,,,
Saphiro,null,0_10,71,108,0,,,,
Saphiro,null,,,,0,,,,
Saphiro,null,8_14,82,112,0,,,,
Saphiro,null,2_8,56,100,0,,,,
Saphiro,null,2_12,65,109,0,,,,
Saphiro,null,4_14,60,106,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,4_14,60,103,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,4_14,78,107,0,,,,
Saphiro,null,8_14,84,113,0,,,,
Saphiro,null,2_8,80,101,0,,,,
Saphiro,null,8_14,84,104,0,,,,
Saphiro,null,2_8,75,95,0,,,,
Saphiro,null,2_10,71,110,0,,,,
Saphiro,null,4_10,74,109,0,,,,
Saphiro,null,12_16,79,120,0,,,,
Saphiro,null,4_12,74,110,0,,,,
Saphiro,null,4_10,71,101,0,,,,
Saphiro,null,8_14,92,110,0,,,,
Saphiro,null,10_16,102,124,0,,,,
Saphiro,null,4_10,79,120,0,,,,
Saphiro,null,12_16,81,117,0,,,,
Saphiro,null,4_10,72,105,0,,,,
Saphiro,null,0_8,71,100,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,4_12,78,107,0,,,,
Saphiro,null,4_14,79,108,0,,,,
Saphiro,null,2_12,71,112,0,,,,
Saphiro,null,4_12,75,112,0,,,,
Saphiro,null,4_10,78,104,0,,,,
Saphiro,null,6_14,84,107,0,,,,
Saphiro,null,2_10,76,104,0,,,,
Saphiro,null,0_8,64,100,0,,,,
Saphiro,null,4_12,72,105,0,,,,
Saphiro,null,8_14,99,124,0,,,,
Saphiro,null,12_18,106,130,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,6_14,85,110,0,,,,
Saphiro,null,12_18,119,128,0,,,,
Saphiro,null,0_10,71,108,0,,,,
Saphiro,null,,,,0,,,,
Saphiro,null,8_14,82,112,0,,,,
Saphiro,null,2_8,56,100,0,,,,
Saphiro,null,2_12,65,109,0,,,,
Saphiro,null,4_14,60,106,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,4_14,60,103,0,,,,
Saphiro,null,2_12,70,107,0,,,,
Saphiro,null,2_8,79,100,0,,,,
Saphiro,null,4_14,78,107,0,,,,
Saphiro,null,8_14,84,113,0,,,,
